,sents
4617,"Meanwhile, Brentford struggled to break down the visitors' backline, with Bryan Mbeumo and Kevin Schade firing straight at Navas with a long-range drive and header respectively"
4618,"At the other end, Brentford missed their best chance of the afternoon as Ethan Pinnock's long-range drive after a goalmouth scramble was well-saved low down by Navas, with Mikkel Damsgaard pouncing on the rebound, but the Brentford midfielder could only prod the ball straight at Navas from a yard out - and, minutes later, Forest were ahead"
4619,The pressure grew and grew as Aaron Hickey fired wide and Navas stopped Frank Onyeka's deflected effort on the goal line
4620,"""Nottingham Forest signed Keylor Navas to bring his wealth of experience to aid their survival charge"
4621,"Since that debut against Leeds, Navas has not kept a clean sheet in 13 games"
4622," Bees goalkeeper David Raya came out for Brennan Johnson's cross and did not get there, with Taiwo Awoniyi heading over with the goal gaping"
4623,"Palace's response was swift and ruthless, with Ayew firing a shot in at the near post to restore parity five minutes later before Zaha, making his first since April 1, hooked in at the back post to complete the turnaround on 20 minutes"
4624,After a VAR review Eze stepped up and sent Lukasz Fabianski the wrong way as Palace established a 4-2 lead
4625,West Ham's loss of defender Kurt Zouma to injury was compounded two minutes later when Schlupp dispossessed the dithering Soucek and raced clear before slotting in Palace's third
4626," But back came West Ham again, with Nayef Aguerd nodding in to atone for his foul on Eze and set up a grandstand finale"
4627,"Palace were aggrieved not to be awarded a penalty in first-half stoppage time after Zaha was hauled down in the area by Vladimir Coufal, but referee Craig Pawson did point to the spot on 66 minutes after Aguerd was adjudged to have tugged Eze as he raced through on goal"
4628," It would last just six minutes, with Soucek flicking another corner on at the near post for Aguerd to bundle into the Palace net, but it proved too little, too late for the below-par Hammers to stage a comeback"
4629,"Roberto De Zerbi's side put defeats to Manchester United at Wembley and Nottingham Forest behind them in style, despite benching key players Kaoru Mitoma, Alexis Mac Allister and Moises Caicedo"
4630,"Welbeck continued the rout as he netted just three minutes into the second half and there was no let-up from De Zerbi as Mitoma, Mac Allister and Caicedo were all introduced"
4631," It was good and right to give Mitoma, Mac Allister, Caicedo one game to recover"
4632,"It got a lot worse for Wolves as Welbeck's downward header beat Jose Sa before the break and left Lopetegui furious on the touchline, having words with several of his players when they came over during an injury break"
4633,"Undav added the sixth with a delicate chip, but only after Max Kilman had been robbed of the ball inside his own area, as the Wolves defence continued to be run ragged"
4634,"Wolves looked like they were on Brighton's beach rather than at the Amex, their only chance of the half coming through a Matheus Nunes strike inside the box which Jason Steele did well to push away"
4635," Joelinton broke down the left and his cross-shot was parried by Jordan Pickford to Wilson, who scored his seventh goal in six matches against Everton"
4636," Joelinton was sent on a powerful, driving run down the left before the Brazilian skipped inside Ben Godfrey and shot at Pickford"
4637,Willock had already forced a superb save from Pickford having teed himself up for a dipping volley on the edge of the box when the resurgent midfielder skipped past Godfrey down the left to present Joelinton with a simple downward header into the far corner
4638," Bruno Guimaraes drove forward unopposed, and with the freedom of Goodison Park, he set up Wilson for a fine finish high into the net beyond Pickford"
4639," Joelinton was sent on a powerful, driving run down the left before the Brazilian skipped inside Ben Godfrey and shot at Pickford"
4640,Willock had already forced a superb save from Pickford having teed himself up for a dipping volley on the edge of the box when the resurgent midfielder skipped past Godfrey down the left to present Joelinton with a simple downward header into the far corner
4641,"But, such has been Everton's wretched season, they immediately sabotaged any hope of a late fightback as Isak led Godfrey, Gueye and Michael Keane on a merry dance along the byline before picking out Murphy on the goal line for Newcastle's fourth"
4642,The England goalkeeper's parry ricocheted off James Tarkowski and fell kindly for Wilson to get to the rebound in front of Vitalii Mykolenko for a lifted finish
4643,"Everton entered the second half knowing they had won just one of 18 Premier League games this term having conceded first, and they very nearly conceded a second within a minute of the restart as Joelinton fed Joe Willock down the left channel and his shot was cleared superbly off the line by Tarkowski"
4644," The visitors then felt they had claims for a penalty when Tarkowski caught Sean Longstaff after the ball had been played on the byline, but Everton's reprieve was short-lived as the visitors soon doubled their lead"
4645,The England goalkeeper's parry ricocheted off James Tarkowski and fell kindly for Wilson to get to the rebound in front of Vitalii Mykolenko for a lifted finish
4646,"They started brightly as Idrissa Gueye had two early shots from distance well watched by Pope, while Alex Iwobi curled another effort off target"
4647,"But, such has been Everton's wretched season, they immediately sabotaged any hope of a late fightback as Isak led Godfrey, Gueye and Michael Keane on a merry dance along the byline before picking out Murphy on the goal line for Newcastle's fourth"
4648, McNeil reduced the deficit in almost comical fashion as his corner-kick missed Doucoure at the near post but the attempt surprised Pope as the ball found the net
4649,"They started brightly as Idrissa Gueye had two early shots from distance well watched by Pope, while Alex Iwobi curled another effort off target"
4650,The hosts thought they had equalised on the stroke of half-time when Dominic Calvert-Lewin latched onto Dwight McNeil's pass but his lofted finish over Nick Pope was ruled out by VAR for offside
4651,Calvert-Lewin resumed his battle with Pope as his fierce shot across goal from Iwobi's pass was batted away by the Newcastle goalkeeper
4652, McNeil reduced the deficit in almost comical fashion as his corner-kick missed Doucoure at the near post but the attempt surprised Pope as the ball found the net
4653," The visitors then felt they had claims for a penalty when Tarkowski caught Sean Longstaff after the ball had been played on the byline, but Everton's reprieve was short-lived as the visitors soon doubled their lead"
4654,"""Fabian Schar thought he had scored a brilliant fifth in stoppage time but his long-range effort was cruelly ruled out for offside against Dan Burn in the build-up, while Murphy spurned another chance at the death"
4655,"The nerves emanating from the home crowd were audible and grew louder with every slip and misplaced pass, with Alex McCarthy - starting over Gavin Bazunu, who was dropped - failing to inspire confidence"
4656,"This only served to encourage Bournemouth, who swiftly hit their rivals with their second blow as Tavernier danced in from the right wing before guiding a shot past McCarthy and inside the far post"
4657,Jan Bednarek then got away with a blatant handball before Tavernier - who has been hampered by injuries in 2023 - left the field with his head in his hands after suffering a hamstring issue
4658,The hosts were then struck with their first body blow at half-time when inspirational captain James Ward-Prowse failed to appear for the second half due to illness
4659,"The hosts edged a cagey opening 15 minutes, with Theo Walcott testing Neto with a low drive and Adam Armstrong glancing a shot against the post from a tight angle, but they were quickly overcome with nerves during a stormy night on the south coast"
4660,"Saints finally mustered some sort of fightback in the final minutes and thought they had grabbed an equaliser when Adams volleyed past Neto, only for VAR to reveal a fractional offside against the striker to dash his celebrations and likely end any hopes of St Mary’s hosting Premier League football again next season"
4661,"The hosts edged a cagey opening 15 minutes, with Theo Walcott testing Neto with a low drive and Adam Armstrong glancing a shot against the post from a tight angle, but they were quickly overcome with nerves during a stormy night on the south coast"
4662,"Again, it did not take much for the visitors to find a way through, with Rashford latching onto Fernandes long pass, outpacing Eric Dier and crashing home a clinical finish for his 16th Premier League goal of the campaign, the ball hitting the back of the net just 26 seconds after De Gea had denied Perisic"
4663," Son missed a glorious chance when he screwed a first-time shot wide from a cross by the excellent Kane, while Dier spurned an even better opportunity when he mistimed a free header"
4664,"Steele's heroics, and the loss of Moussa Niakhate to injury, dampened the mood inside the City Ground and Forest nearly found themselves behind just after the quarter-hour mark, with Julio Enciso's shot from Kaoru Mitoma's cutback forcing a stunning, flying save from Keylor Navas"
4665, Forest's winless run threatened to extend to 12 games when 18-year-old Facundo Buonanotte's gave Brighton the lead after Brennan Johnson had seen his early penalty saved by Seagulls stopper Jason Steele
4666,"But Forest's topscorer Johnson, who was restored to the starting line-up after being dropped at Liverpool last weekend, was denied the opener by a brilliant diving save from Brighton goalkeeper Jason Steele"
4667,"Brighton would go on to dominate the remainder of the first half but, to their credit, Forest crucially hauled themselves level deep into stoppage time, as Renan Lodi's cross was turned in by Gross at the near post, with Steele only able to get a hand on it"
4668,Danilo's intercepted the ball in midfield and then raced in behind to gather Taiwo Awoniyi's through pass before racing into the final third and slotting past Steele
4669,Brighton dominated the first half but Forest grabbed a lifeline on the stroke of half-time when Renan Lodi's cross was turned into the Brighton net by Pascal Gross
4670,"Brighton would go on to dominate the remainder of the first half but, to their credit, Forest crucially hauled themselves level deep into stoppage time, as Renan Lodi's cross was turned in by Gross at the near post, with Steele only able to get a hand on it"
4671,"Gibbs-White curled over as Forest missed the chance to put the game to bed sooner, but the nerves were settled in stoppage time when he converted their second penalty of the night after Dunk compounded an off-colour Brighton display with a mindless handball in the area"
4672,"""After Sunday's painful FA Cup semi-final elimination against Manchester United at Wembley, Brighton looked set to endure yet more penalty heartache when Pervis Estupinan clumsily fouled Neco Williams to hand Nottingham Forest a spot-kick inside nine minutes"
4673,"To go into the break level was huge for Forest but they almost fell behind just shy of the hour, with Mitoma shanking a shot wide after a sweeping counter attack"
4674,Brentford struck on 37 minutes when Mathias Jensen's corner was met by Mathias Jorgensen only for his attempted header to glance inadvertently past Kepa Arrizabalaga by Azpilicueta
4675,Brentford struck on 37 minutes when Mathias Jensen's corner was met by Mathias Jorgensen only for his attempted header to glance inadvertently past Kepa Arrizabalaga by Azpilicueta
4676,Enzo Fernandez was next to try his luck
4677,"To make matters worse, Chelsea have only scored one goal under Lampard - a heavily deflected Conor Gallagher strike against Brighton"
4678,"There were jeers at half-time, and when the sides re-emerged for the restart, Lampard turned to Mykhailo Mudryk and Pierre-Emerick Aubameyang"
4679," A brief response ensued as Kante shot wide, Aubameyang flicked a header over and shot tamely at Raya"
4680,"There were jeers at half-time, and when the sides re-emerged for the restart, Lampard turned to Mykhailo Mudryk and Pierre-Emerick Aubameyang"
4681," They posed the greater threat throughout the first half, the recalled Marcel Sabitzer fizzing a shot over the bar and Casemiro having an effort of his own come back off the Aston Villa crossbar with Martinez beaten"
4682, His slight touch on the ball was enough to prevent Ollie Watkins heading in from close range even before that
4683,It was more even after the interval with Emery introducing Bertrand Traore in an attacking move
4684, Villa quickly took charge of the game and came close themselves only for Ashley Young's goal-bound strike from the edge of the box to be deflected away by Harrison Reed
4685,"After seeing Willian removed from the starting line-up just before kick-off and replaced by Manor Solomon, Fulham were forced into another change as Harry Wilson came off feeling unwell in the 17th minute for Bobby Decordova-Reid"
4686,"""When we have a plan to start and after the warm-up Willian felt something in his hamstring and the situation with Harry Wilson [coming off] was not the best start for us,"" he told  ""But these can't be excuses"
4687,"After seeing Willian removed from the starting line-up just before kick-off and replaced by Manor Solomon, Fulham were forced into another change as Harry Wilson came off feeling unwell in the 17th minute for Bobby Decordova-Reid"
4688,Ruben Neves' right-wing corner ricocheted into the net off the legs of Palace defender Joachim Andersen early in the game and the Wolves captain sealed the win from the penalty spot in stoppage-time after Sam Johnstone's foul on Pedro Neto
4689, It was Albert Lokonga who had the best chance of the first half - his effort being kept out by the left hand of Jose Sa
4690,"The Palace boss pointed to a packed schedule in making four changes to the team, handing rare starts to Will Hughes and Luka Milivojevic"
4691,"The Palace boss pointed to a packed schedule in making four changes to the team, handing rare starts to Will Hughes and Luka Milivojevic"
4692,"The returning James Maddison's corner was cleared as far as Tielemans, who unleashed a rocket past the motionless Illan Meslier into the top corner"
4693," Iheanacho then forced Meslier into a stop at the Foxes striker's feet, before Caglar Soyuncu acrobatically fired over from the resulting corner"
4694, The only other chance of the half saw Luke Ayling see a speculative lob over Iversen fall gratefully into the arms of the Leicester goalkeeper
4695," The Leicester forward even had time to pull up with a suspected groin injury before feeding Maddison, who then beat Junior Firpo to a challenge"
4696,"As a tense six-pointer ticked on to the 90-minute mark, all the Leeds striker had to do was tap home at the far post after Marc Roca flicked on a corner - but Bamford scuffed his finish, which bounced wide"
4697,"Then came a trio of Leeds chances as goalkeeper Iversen denied Roca from point-blank range from a corner, before denying Brenden Aaronson seconds later with a low stop"
4698,"The resulting corner then saw Roca flick on again, this time into Bamford's path"
4699,"Leeds came out in the second period trying to kill the game as Bamford's effort was well blocked by Wout Faes, while Rodrigo waited and waited before shooting from close range in the box - the same Leicester centre-back denying that attack as well"
4700,Patrick Bamford produced one of the misses of the season as Leeds missed the chance to move four points clear of the drop zone by drawing 1-1 against fellow relegation rivals Leicester
4701,"As a tense six-pointer ticked on to the 90-minute mark, all the Leeds striker had to do was tap home at the far post after Marc Roca flicked on a corner - but Bamford scuffed his finish, which bounced wide"
4702, Wilfried Gnonto remained on the bench - not even the injury of Luis Sinisterra could force him on - and the hosts stuck with Bamford who was offering little
4703,"Then came a trio of Leeds chances as goalkeeper Iversen denied Roca from point-blank range from a corner, before denying Brenden Aaronson seconds later with a low stop"
4704," Iheanacho then forced Meslier into a stop at the Foxes striker's feet, before Caglar Soyuncu acrobatically fired over from the resulting corner"
4705,"However, VAR intervened after it spotted a clear offside on Boubacar Soumare in the build-up, much to the delight of the roaring Elland Road crowd"
4706,"The Foxes continued their domination as Harvey Barnes saw a clear chance well blocked by Liam Cooper, before Maddison poked wide from Tete's cross at the far post"
4707, The Leicester forward squared to Barnes who curled over from a good position
4708,Bournemouth were not prepared to throw the towel in just yet and Chris Mepham tested Fabianski with a header moments later
4709," Vladimir Coufal won back possession and controlled Jarrod Bowen's pass before his looping cross was headed in at the back post by Paqueta, who easily outjumped Jack Stephens"
4710,O'Neil responded with Wales forward Kieffer Moore introduced in place of Joe Rothwell at half-time but it failed to have the desired effect
4711," Jefferson Lerma was next to try his luck and Fabianski was again equal to it, but his best stop was to come next"
4712,"Dominic Solanke muscled his way past Nayef Aguerd and raced into the area, but Fabianski saved well with his feet to preserve West Ham's two-goal lead after half an hour"
4713,O'Neil responded with Wales forward Kieffer Moore introduced in place of Joe Rothwell at half-time but it failed to have the desired effect
4714,"Hammers substitute Maxwel Cornet had a stoppage-time effort ruled out for offside and the West Ham fans finished the game chanting for Rice to stay one more year, with this win at least going a long way to confirming their place in the Premier League next season"
4715,"Spurs goalkeeper Hugo Lloris did not emerge for the second half, with Fraser Forster replacing him, and substitute Callum Wilson restored Newcastle's five-goal advantage only 65 seconds after coming on following a well-taken consolation goal by Harry Kane"
4716,"The game was barely a minute old when the floodgates opened, Murphy slamming home from a few yards out after Joelinton had been allowed to cut inside from the left unopposed and release a low shot which was only temporarily repelled by a diving Lloris"
4717," Only four minutes later, Schar sent a speculative long pass over the top of the Spurs defence which Joelinton, again untracked by the hapless Pedro Porro, was able to control before beating the advancing Lloris"
4718,"Fans from both sides were already in a state of disbelief at that point and so too was Murphy when, moments later, his powerful long-range strike found the far corner for the third goal after Spurs had surrendered possession in their own half, the winger standing open-mouthed in celebration as Lloris remained rooted to the spot"
4719,"But Newcastle, beaten 3-0 by Aston Villa in their last game, continued to tear into them, with Eric Dier and Cristian Romero woeful in the centre of the Spurs defence and Porro and Ivan Perisic similarly poor in the full-back positions"
4720,"But Newcastle, beaten 3-0 by Aston Villa in their last game, continued to tear into them, with Eric Dier and Cristian Romero woeful in the centre of the Spurs defence and Porro and Ivan Perisic similarly poor in the full-back positions"
4721,"But Newcastle, beaten 3-0 by Aston Villa in their last game, continued to tear into them, with Eric Dier and Cristian Romero woeful in the centre of the Spurs defence and Porro and Ivan Perisic similarly poor in the full-back positions"
4722,"But Newcastle, beaten 3-0 by Aston Villa in their last game, continued to tear into them, with Eric Dier and Cristian Romero woeful in the centre of the Spurs defence and Porro and Ivan Perisic similarly poor in the full-back positions"
4723,"Spurs briefly threatened at the other end, with Kane firing narrowly wide from an Oliver Skipp cut-back, but their nightmare was only just beginning, with Isak adding the fourth from Joe Willock's sensational, outside-of-the-boot pass following a break"
4724,"Stellini abandoned his back four at that point, turning to substitute Davison Sanchez, a player booed off by his own supporters against Bournemouth last weekend, to replace Pape Sarr as they reverted to a five in the interests of damage limitation"
4725,"Spurs goalkeeper Hugo Lloris did not emerge for the second half, with Fraser Forster replacing him, and substitute Callum Wilson restored Newcastle's five-goal advantage only 65 seconds after coming on following a well-taken consolation goal by Harry Kane"
4726,"Spurs briefly threatened at the other end, with Kane firing narrowly wide from an Oliver Skipp cut-back, but their nightmare was only just beginning, with Isak adding the fourth from Joe Willock's sensational, outside-of-the-boot pass following a break"
4727,"Spurs briefly looked like they may make the scoreline more respectable when Kane dispatched his fine consolation, his low finish from an acute angle beating Nick Pope, who was mostly a bystander"
4728,"Spurs goalkeeper Hugo Lloris did not emerge for the second half, with Fraser Forster replacing him, and substitute Callum Wilson restored Newcastle's five-goal advantage only 65 seconds after coming on following a well-taken consolation goal by Harry Kane"
4729,"There were audible olés from the home fans as Newcastle toyed with Spurs in what remained of the first half and the second half began with news of a half-time change in goal, with Forster replacing the five-times beaten Lloris, who had picked up an injury"
4730,"Anthony Gordon, another substitute, also went close in the closing stages, drawing a save from Forster which was then hacked off the line by a Spurs defender, but the five-goal margin of victory was more than enough to ensure a party atmosphere at St James' Park"
4731,Fulham's Tosin Adarabioyo forced Meslier into a superb reflex save by heading a free-kick goalwards - but the flag went up for offside
4732,"Patrick Bamford came off the bench to force a Joao Palhinha own goal for Leeds and while Meslier redeemed himself by superbly tipping Willian's free-kick onto the crossbar, those strong palms came too late"
4733,But the visitors' pressure - helped by the arrival of Luis Sinisterra and Bamford off the bench - eventually led to some good fortune as the latter's wayward effort came off Palhinha and into the bottom corner
4734,"Javi Gracia's side went into a winnable run of games, which includes matches with Leicester and Bournemouth next week, having conceded 11 goals in their last two matches against Crystal Palace and Liverpool - and Leeds 'keeper Meslier was largely at fault for their defeat in west London"
4735,"Patrick Bamford came off the bench to force a Joao Palhinha own goal for Leeds and while Meslier redeemed himself by superbly tipping Willian's free-kick onto the crossbar, those strong palms came too late"
4736, Gracia refused to criticise individual players such as Meslier - but says he has major concerns
4737,Fulham's Tosin Adarabioyo forced Meslier into a superb reflex save by heading a free-kick goalwards - but the flag went up for offside
4738,"Fulham playmaker Pereira had three efforts from distance, but two went straight at Meslier and the other went into the stands - the midfielder's lack of killer instinct summarising the shooting in the opening period"
4739,The Brazilian hung up a cross which Meslier should have been able to deal with - instead a soft palm left Wilson to smash home the loose ball
4740,"Fulham did not stop either, with Pereira's free-kick smashing the crossbar with Meslier rooted to the spot"
4741," Pereira worked the ball out to the rampaging Robinson, whose cross was palmed out by Meslier straight into the path of the Fulham midfielder, who could not miss as he slammed home from a few yards out"
4742,Leeds tried to come back into the game as Leno showed Meslier how to deal with fierce shots as he tipped Roca's effort from the edge of the box over the bar
4743,"But despite Leeds having 10 minutes left before a bumper eight minutes of added time - it was Fulham who had the only real late chance, with Willian's free-kick tipped onto the bar by Meslier"
4744,"After the game, Gracia was asked whether back-up goalkeeper Joel Robles - who he knows from his time in Spain - has not been considered as an alternative to the out-of-form Meslier"
4745," Despite a couple of smart stops at Fulham, Meslier is not doing that"
4746,Leeds' confidence grew as Marc Roca tested Bernd Leno from a free-kick - but that routine effort was the visitors' only real chance of the first half
4747," The midfield needs a shake-up with Marc Roca, Weston McKennie and Brenden Aaronson making poor passes in the build-up to both goals"
4748," The midfield needs a shake-up with Marc Roca, Weston McKennie and Brenden Aaronson making poor passes in the build-up to both goals"
4749,"Both sides lined up without an out-and-out striker as Bobby Decordova-Reid and Rodrigo led the line for their respective teams - which could explain the goalless, lacklustre first period"
4750,But the visitors' pressure - helped by the arrival of Luis Sinisterra and Bamford off the bench - eventually led to some good fortune as the latter's wayward effort came off Palhinha and into the bottom corner
4751,"The goal finally woke Villa from their slumber and they could have been level when Jacob Ramsey scooped a presentable chance over the bar, although Frank Onyeka should have sealed the points for Brentford when he scuffed wide from just yards out after Tyrone Mings misjudged a cross"
4752,"Mbeumo then skied a good chance but redeemed himself minutes later when he picked out Toney with a fine cross from the right, leaving the striker the simple task of turning the ball past Olsen after Young let the ball run across his body"
4753,"The goal finally woke Villa from their slumber and they could have been level when Jacob Ramsey scooped a presentable chance over the bar, although Frank Onyeka should have sealed the points for Brentford when he scuffed wide from just yards out after Tyrone Mings misjudged a cross"
4754,Mathias Jensen scuffed wide after a Leander Dendoncker error and Martinez produced a fine save to deny Toney at close range
4755,"Toney was the striker handed the job of backing up Harry Kane by Gareth Southgate last month, but Watkins had surely pushed himself into the England boss’ thoughts after scoring 11 goals in his last 12 games"
4756,"However, that record took a hit on his return to his former club as Brentford kept Watkins quiet on a frustrating afternoon for the striker, who has not played for England since winning his seventh cap 13 months ago"
4757,Watkins averages 30
4758,Even more frustrating for Watkins will be the fact that Toney scored his 19th Premier League goal of the season - five more than the Villa striker and just four behind Kane
4759,"There is plenty of time for hopefuls to play themselves into England contention ahead of the next international fixtures in June, but Toney will feel he got the better of his rival Watkins in west London"
4760,"The subsequent blow of losing the Argentina World Cup winner seemed to subdue Villa, who were on the back foot for much of the second period and should have gone behind when replacement goalkeeper Robin Olsen spilled the ball at Kevin Schade’s feet, only for the Brentford forward to hit the side-netting when presented with an open goal"
4761,"Mbeumo then skied a good chance but redeemed himself minutes later when he picked out Toney with a fine cross from the right, leaving the striker the simple task of turning the ball past Olsen after Young let the ball run across his body"
4762," Haaland had room to run into, producing one wicked strike of the bouncing ball, but his failure to connect cleanly with two other shots allowed Ramsdale to save"
4763, Gabriel was bullied by Haaland only for Ramsdale to save
4764,But the foot of Ben White was playing his fellow England international onside
4765, It almost did when Ruben Dias appeared to kick out at White near the corner flag
4766,"Rob Holding had scored late on for Arsenal but the gap is down to two points and, crucially, City still have two games in hand"
4767, Holding struggled to cope with Haaland throughout and it was critical to the opening goal
4768, Gabriel was bullied by Haaland only for Ramsdale to save
4769,"The striker held off the centre-back and with Thomas Partey failing to track the run of De Bruyne beyond the back line, the Belgian had time to pick out the corner of the net"
4770, The striker then picked up a loose pass by Martin Odegaard and fed De Bruyne for his second
4771,Everton held on for a goalless draw against Crystal Palace despite a late red card to Mason Holgate but still slipped into the relegation zone due to Leicester's win over Wolves
4772,"Right-back Holgate was shown the second of two yellow cards for fouls on Jordan Ayew in the 80th minute, but the hosts, seeking a fourth straight win under Roy Hodgson following his reappointment, were unable to capitalise on the man advantage"
4773,"Ayew showed excellent anticipation to intercept Pickford's diagonal pass, and, having already drawn a foul which earned Holgate a booking in the first half, his driving run forward prompted another from the right-back, who clumsily hauled him down"
4774,"Yet, despite a positive start, the hosts shot themselves in the foot with Tielemans gifting Wolves a 13th-minute opener"
4775,Boubakary Soumare swapped passes with Daka and threaded a neat ball to the advancing Victor Kristiansen
4776,"""Robbed of James Maddison, out with illness, Leicester boss Smith threw caution to the wind with Tete, Iheanacho and Patson Daka joining Jamie Vardy going forward"
4777,"Vardy was withdrawn at half-time and replacement Kiernan Dewsbury-Hall wasted a good chance 11 minutes into the second half, blazing over after Sa denied Daka"
4778,Boubakary Soumare swapped passes with Daka and threaded a neat ball to the advancing Victor Kristiansen
4779," He picked an adventurous line-up with Tete, Kelechi Iheanacho, Patson Daka and Jamie Vardy all named in attack"
4780,"""Robbed of James Maddison, out with illness, Leicester boss Smith threw caution to the wind with Tete, Iheanacho and Patson Daka joining Jamie Vardy going forward"
4781,"Smith was adamant Vardy could recapture some old glory, however fleeting, to save Leicester, and within three minutes the striker rolled back the years"
4782,"The new boss felt the 36-year-old could still trust his legs and, when Iheanacho slipped him through, Vardy darted past Craig Dawson to cross for Tete, only for Toti Gomes to block"
4783," Iheanacho broke and found Vardy who skipped round Jose Sa, only for the goalkeeper to slip and bring him down"
4784,It was classic Vardy but the striker needed lengthy treatment after Sa caught him on the ankle and was off the pitch when Iheanacho stroked in the penalty
4785,"Vardy was withdrawn at half-time and replacement Kiernan Dewsbury-Hall wasted a good chance 11 minutes into the second half, blazing over after Sa denied Daka"
4786," He picked an adventurous line-up with Tete, Kelechi Iheanacho, Patson Daka and Jamie Vardy all named in attack"
4787,"Vardy was withdrawn at half-time and replacement Kiernan Dewsbury-Hall wasted a good chance 11 minutes into the second half, blazing over after Sa denied Daka"
4788,It was classic Vardy but the striker needed lengthy treatment after Sa caught him on the ankle and was off the pitch when Iheanacho stroked in the penalty
4789,It was a lifeline the Foxes were keen to grab and Sa spilled Tete's effort and blocked Daka's follow-up before the break
4790,"Vardy was withdrawn at half-time and replacement Kiernan Dewsbury-Hall wasted a good chance 11 minutes into the second half, blazing over after Sa denied Daka"
4791,Wolves had lost what momentum they had and again needed Sa to thwart Caglar Soyuncu as Leicester looked for a precious winner
4792,"The new boss felt the 36-year-old could still trust his legs and, when Iheanacho slipped him through, Vardy darted past Craig Dawson to cross for Tete, only for Toti Gomes to block"
4793,"The new boss felt the 36-year-old could still trust his legs and, when Iheanacho slipped him through, Vardy darted past Craig Dawson to cross for Tete, only for Toti Gomes to block"
4794," Faes blocked Pablo Sarabia's drive and Dawson's follow-up was deflected wide, while Matheus Nunes began to dictate in midfield"
4795,"The new boss felt the 36-year-old could still trust his legs and, when Iheanacho slipped him through, Vardy darted past Craig Dawson to cross for Tete, only for Toti Gomes to block"
4796,"There was little threat when he collected Wout Faes' pass 30 yards out but, with the aid of a heavy touch, Mario Lemina quickly hunted the midfielder down"
4797,"Salah, scoring his eighth goal in six appearances against Leeds, then collected Jota's incisive pass, using clever movement to escape the clutches of Pascal Struijk, before rifling emphatically beyond a helpless Illan Meslier (39)"
4798,"A blunder from Liverpool defender Ibrahima Konate allowed Sinisterra to momentarily reduce arrears but celebrations were short-lived as Jota restored the Reds' two-goal advantage five minutes later, latching onto a superb pass from Curtis Jones to sweep past Meslier"
4799,"Once Gakpo put Liverpool in front they began to cut Leeds open at will, with Jota robbing Weston McKennie on the halfway line, which led to a counter-attack that saw Salah score the visitors' second"
4800,"Luis Sinisterra netted what turned out to be merely a consolation shortly after the interval (47), paving the way for a second-half Liverpool onslaught, spearheaded by the brilliance of Salah"
4801,"A blunder from Liverpool defender Ibrahima Konate allowed Sinisterra to momentarily reduce arrears but celebrations were short-lived as Jota restored the Reds' two-goal advantage five minutes later, latching onto a superb pass from Curtis Jones to sweep past Meslier"
4802,"A blunder from Liverpool defender Ibrahima Konate allowed Sinisterra to momentarily reduce arrears but celebrations were short-lived as Jota restored the Reds' two-goal advantage five minutes later, latching onto a superb pass from Curtis Jones to sweep past Meslier"
4803, The Arsenal captain was left with the simple task of slamming home past Lukasz Fabianski
4804,Thilo Kehrer lifted a long ball over Gabriel's head and Bowen was there to slam home past Ramsdale
4805,"They conceded just before half-time when Said Benrahma struck from the penalty spot after Gabriel fouled Lucas Paqueta - before Arsenal were awarded a spot kick themselves just after half-time for Michail Antonio's handball, only for Bukayo Saka to uncharacteristically put his effort wide"
4806,"But Arsenal invited the Hammers back into the contest as a slack Partey had his pocket pinched by Declan Rice, who feed Paqueta in the box quickly"
4807,"They conceded just before half-time when Said Benrahma struck from the penalty spot after Gabriel fouled Lucas Paqueta - before Arsenal were awarded a spot kick themselves just after half-time for Michail Antonio's handball, only for Bukayo Saka to uncharacteristically put his effort wide"
4808,Benrahma cooly slotted the penalty home as West Ham ended the half in the ascendancy
4809,Thilo Kehrer lifted a long ball over Gabriel's head and Bowen was there to slam home past Ramsdale
4810,"The Premier League leaders got off to the perfect start as Gabriel Jesus and Martin Odegaard put the Gunners two up after 10 minutes with clinical first-time finishes - but just like last week at Anfield, Mikel Arteta's side could not hold on to their advantage"
4811,"They conceded just before half-time when Said Benrahma struck from the penalty spot after Gabriel fouled Lucas Paqueta - before Arsenal were awarded a spot kick themselves just after half-time for Michail Antonio's handball, only for Bukayo Saka to uncharacteristically put his effort wide"
4812,Gabriel headed Martinelli's cross wide early on but the opener would soon come
4813,Arsenal defender Gabriel came across and brought the Brazilian midfielder down - leaving referee David Coote no option but to point to the spot
4814,"At the other end, Bowen searched for a winner on the break but his low shot was well-blocked by Tierney"
4815,"But Arsenal invited the Hammers back into the contest as a slack Partey had his pocket pinched by Declan Rice, who feed Paqueta in the box quickly"
4816,"They conceded just before half-time when Said Benrahma struck from the penalty spot after Gabriel fouled Lucas Paqueta - before Arsenal were awarded a spot kick themselves just after half-time for Michail Antonio's handball, only for Bukayo Saka to uncharacteristically put his effort wide"
4817," Some intricate play from Odegaard, Partey, Saka and Ben White, who all combined to release the latter down the right byline, before he squared to Jesus for a simple tap-in"
4818,"Saka then tried to make amends for his penalty miss with a lung-bursting run on the break, but saw his shot falls gratefully into Fabianski's gloves"
4819,"""When Bukayo Saka put his penalty at West Ham wide of goal, it was the sign of how things can move away from the norm in a title race"
4820,Saka is normally so reliable from the spot
4821, Felipe then headed over from two yards in the second half just before Dalot's clincher
